symbol,pnl,is_win,rsi,macd_hist,ema_diff_pct,vwap_dist_pct,atr_pct,adx,regime
JPM,-8.03426399999999,0,5.11502915691932,-0.28472694329665,-0.1262070707137031,-0.8629850157569178,0.1321191902445939,17.958751130868283,RANGE
JPM,-2.180419500000046,0,66.81974209934506,-0.40411101788855497,0.4597493085689847,2.8396306219919243,0.24535255859491042,53.43795034476503,TREND_UP
JPM,-2.180419500000046,0,66.81974209934506,-0.40411101788855497,0.4597493085689847,2.8396306219919243,0.24535255859491042,53.43795034476503,TREND_UP
JPM,-8.623703999999996,0,9.196225912242213,-0.39776896774270865,-0.19578212911789133,-1.5506045210237884,0.20746629784298135,22.008216457581273,NEUTRAL
SBUX,-7.952455999999991,0,58.44514652377729,-0.0867743357899271,0.9961062042795948,2.518892548181853,0.8087217441594956,41.419994798286886,TREND_UP
COST,4.672786499999989,1,61.481174296697176,-0.5760126680465394,0.40374986598737456,1.0720841725805306,0.23876959956642385,44.09187764855156,TREND_UP
COST,-7.953905499999992,0,61.93504790119258,-1.3029468777002684,0.4501248607685828,3.1834295053908517,0.21711695425259084,50.437523883813036,TREND_UP
COST,-7.9245720000000315,0,32.90998282238935,-0.6165334218583409,-0.16077899273466534,-1.504136592122659,0.14562169120979712,24.141630018792597,NEUTRAL
COST,16.228653,1,61.550841516423404,-0.651162696894247,0.29227094992343483,1.3881158431339684,0.10861763207046042,43.5578930319669,TREND_UP
COST,-1.9355245000000185,0,25.17223613071306,-0.9120039830282523,-0.14873643701370426,-2.001433984869198,0.16530082781508326,22.300624523686423,NEUTRAL
CRM,-8.940508500000004,0,60.01785652679683,-0.2180275580860589,0.9785401293716509,2.2181903046917877,0.6060408860045694,61.75605084949206,TREND_UP
CRM,15.155454000000011,1,56.26775699520382,-0.5540248348580257,0.617579677115727,1.844125494945708,0.5072060717921251,42.4237874542723,TREND_UP
NKE,-8.120967999999998,0,54.14291338549374,-0.047932862608830895,0.1840495052938342,-0.9188753047553421,0.17448121116983492,31.553644675836956,TREND_UP
NKE,-8.120967999999998,0,54.14291338549374,-0.047932862608830895,0.1840495052938342,-0.9188753047553421,0.17448121116983492,31.553644675836956,TREND_UP
COST,15.154148000000033,1,26.49945189011119,-0.37479367650952006,-0.08592624891059729,-0.5630203194910277,0.04444931809127309,26.69870103668909,NEUTRAL
COST,15.154148000000033,1,26.49945189011119,-0.37479367650952006,-0.08592624891059729,-0.5630203194910277,0.04444931809127309,26.69870103668909,NEUTRAL
COST,-7.856488500000014,0,69.6864385845071,-0.9890523416881845,0.4473543579533572,2.784994197565795,0.20295897387593012,55.086652781470775,TREND_UP
COST,-7.856488500000014,0,69.6864385845071,-0.9890523416881845,0.4473543579533572,2.784994197565795,0.20295897387593012,55.086652781470775,TREND_UP
COST,2.1681960000000164,1,37.48663196985029,-0.24783509105897336,-0.03276202657358973,-0.7942447115419801,0.04453117238363668,17.46619051862354,RANGE
COST,2.1681960000000164,1,37.48663196985029,-0.24783509105897336,-0.03276202657358973,-0.7942447115419801,0.04453117238363668,17.46619051862354,RANGE
COST,-8.078328500000023,0,29.02043850778753,-0.36862795410230587,-0.051956881007435035,-0.8581062362054717,0.07902124412006978,19.272425723315617,RANGE
COST,15.292175999999973,1,37.96503174913164,-0.454295934432021,0.000677723424138871,-0.4241105060764683,0.05632246361191315,25.027378530892715,NEUTRAL
COST,-8.078328500000023,0,29.02043850778753,-0.36862795410230587,-0.051956881007435035,-0.8581062362054717,0.07902124412006978,19.272425723315617,RANGE
COST,15.292175999999973,1,37.96503174913164,-0.454295934432021,0.000677723424138871,-0.4241105060764683,0.05632246361191315,25.027378530892715,NEUTRAL
COST,-2.7553205000000207,0,55.08340261185727,-0.6890275289573484,0.20268320732053668,0.8467703038675636,0.20076465931011528,35.57180080053342,TREND_UP
